"metric","model","dgp","mean_value","sd_y","value"
"ate_estimate","BART_t-learner","dgp57",0.512621251665863,NA,NA
"ate_estimate","BART_t-learner","dgp58",1.0292561663829,NA,NA
"ate_estimate","BART_t-learner","dgp59",0.783654502862534,NA,NA
"ate_estimate","BART_t-learner","dgp60",1.65066163701448,NA,NA
"ate_estimate","BART_t-learner","dgp61",2.06900047223283,NA,NA
"ate_estimate","BART_t-learner","dgp62",2.12622417305186,NA,NA
"ate_estimate","BART_t-learner","dgp63",1.98782223045807,NA,NA
"ate_estimate","BART_t-learner","dgp64",3.68055801544376,NA,NA
"ate_estimate","causal_forest","dgp29",4.20245759261464,NA,NA
"ate_estimate","causal_forest","dgp30",10.7553798340172,NA,NA
"ate_estimate","causal_forest","dgp31",2.13902726861241,NA,NA
"ate_estimate","causal_forest","dgp32",2.5465681592058,NA,NA
"ate_estimate","causal_forest","dgp37",3.92900396738387,NA,NA
"ate_estimate","causal_forest","dgp38",2.52630648603812,NA,NA
"ate_estimate","causal_forest","dgp39",6.73836698552189,NA,NA
"ate_estimate","causal_forest","dgp40",6.81916293620924,NA,NA
"ate_estimate","causal_forest","dgp57",0.557609417241864,NA,NA
"ate_estimate","causal_forest","dgp58",0.990465144969505,NA,NA
"ate_estimate","causal_forest","dgp59",0.763295125997476,NA,NA
"ate_estimate","causal_forest","dgp60",1.62442767931049,NA,NA
"ate_estimate","causal_forest","dgp61",2.10958361424323,NA,NA
"ate_estimate","causal_forest","dgp62",2.09040673291821,NA,NA
"ate_estimate","causal_forest","dgp63",1.98076547070208,NA,NA
"ate_estimate","causal_forest","dgp64",3.63013573877722,NA,NA
"ate_estimate","weighting","dgp29",4.02206597666973,NA,NA
"ate_estimate","weighting","dgp30",21.9020200449249,NA,NA
"ate_estimate","weighting","dgp31",2.03479117740424,NA,NA
"ate_estimate","weighting","dgp32",2.52492514995442,NA,NA
"ate_estimate","weighting","dgp37",4.01269440742314,NA,NA
"ate_estimate","weighting","dgp38",2.51250224369481,NA,NA
"ate_estimate","weighting","dgp39",6.17715328140871,NA,NA
"ate_estimate","weighting","dgp40",7.21145447392196,NA,NA
"ate_estimate","weighting","dgp57",0.499566776955448,NA,NA
"ate_estimate","weighting","dgp58",0.983406579448708,NA,NA
"ate_estimate","weighting","dgp59",0.804354972976827,NA,NA
"ate_estimate","weighting","dgp60",1.67055490354348,NA,NA
"ate_estimate","weighting","dgp61",2.02967409677212,NA,NA
"ate_estimate","weighting","dgp62",2.12584301069516,NA,NA
"ate_estimate","weighting","dgp63",2.00984638270585,NA,NA
"ate_estimate","weighting","dgp64",3.84919979812987,NA,NA
"ci_length","BART_ps-bart","dgp29",1.52838583733001,NA,NA
