"model","dgp","rmse","coverage","mean_ci_length"
"BART_s-learner","dgp30",0.5813386518347,0.84,1.80853137331335
"BART_s-learner","dgp31",0.386846773964629,0.95,1.52890960863748
"BART_s-learner","dgp32",0.313108144022012,0.99,1.33437612249278
"BART_s-learner","dgp37",0.207593480727019,0.96,0.794262002964288
"BART_s-learner","dgp38",0.13933748023614,0.97,0.5629881376711
"BART_s-learner","dgp39",0.329594275817732,0.83,0.912296366630242
"BART_s-learner","dgp40",0.141974288287267,0.94,0.532619338588556
"BART_s-learner","dgp57",0.0837534822528322,0.95,0.353247271784392
"BART_s-learner","dgp58",0.106694578347687,0.93,0.392287341688388
"BART_s-learner","dgp59",0.0873352354723011,0.94,0.366656381993298
"BART_s-learner","dgp60",0.091707676461376,0.89,0.302440962235419
"BART_s-learner","dgp61",0.174558481707669,0.98,0.825724017532108
"BART_s-learner","dgp62",0.209745525040396,0.96,0.857736424146693
"BART_s-learner","dgp63",0.240748323420708,0.96,0.918273591401232
"BART_s-learner","dgp64",0.159387035064199,0.94,0.617370691113234
"BART_t-learner","dgp29",0.464838473070712,0.91,1.56633970511884
"BART_t-learner","dgp30",1.02229160637572,0.6,2.02600599200958
"BART_t-learner","dgp31",0.387183886202952,0.98,1.5791820648072
"BART_t-learner","dgp32",0.31390444711099,0.99,1.34442346950522
"BART_t-learner","dgp37",0.280660206264516,0.88,0.919074162547063
"BART_t-learner","dgp38",0.18517303691694,0.85,0.555522913874621
"BART_t-learner","dgp39",0.359884310185017,0.83,0.989086025616928
"BART_t-learner","dgp40",0.265656053934856,0.73,0.601752529383203
"BART_t-learner","dgp57",0.0813114474887074,0.96,0.352057572993003
"BART_t-learner","dgp58",0.110778314374703,0.92,0.404463381810463
"BART_t-learner","dgp59",0.0844483572245743,0.95,0.362519121352474
"BART_t-learner","dgp60",0.0833951202726462,0.92,0.299963045298653
"BART_t-learner","dgp61",0.199723870179066,0.95,0.835609339223699
"BART_t-learner","dgp62",0.248021391010751,0.95,0.868700294976057
"BART_t-learner","dgp63",0.230710758515925,0.94,0.95968273935143
"BART_t-learner","dgp64",0.166505842631431,0.93,0.605980825362939
"causal_forest","dgp29",0.46404513917171,0.92,1.65684193909549
"causal_forest","dgp30",0.931700108435942,0.65,1.95310847126989
"causal_forest","dgp31",0.496825067541407,0.92,1.80880704517657
