"dgp","metric","model","iteration","k","n_trees","value"
"dgp30","coverage","bart_ps-glm",4,3,200,1
"dgp30","ate_estimate","bart_ps-glm",4,5,200,10.7159788654758
"dgp30","ate_bias","bart_ps-glm",4,5,200,0.715978865475773
"dgp30","ci_length","bart_ps-glm",4,5,200,1.74857739232476
"dgp30","coverage","bart_ps-glm",4,5,200,1
"dgp30","ate_estimate","bart_ps-glm",5,1,75,9.50452177253687
"dgp30","ate_bias","bart_ps-glm",5,1,75,-0.495478227463131
"dgp30","ci_length","bart_ps-glm",5,1,75,1.74866010173542
"dgp30","coverage","bart_ps-glm",5,1,75,1
"dgp30","ate_estimate","bart_ps-glm",5,2,75,9.51354682787554
"dgp30","ate_bias","bart_ps-glm",5,2,75,-0.486453172124458
"dgp30","ci_length","bart_ps-glm",5,2,75,1.73400275108284
"dgp30","coverage","bart_ps-glm",5,2,75,1
"dgp30","ate_estimate","bart_ps-glm",5,3,75,9.55296937662512
"dgp30","ate_bias","bart_ps-glm",5,3,75,-0.447030623374884
"dgp30","ci_length","bart_ps-glm",5,3,75,1.75489822711308
"dgp30","coverage","bart_ps-glm",5,3,75,1
"dgp30","ate_estimate","bart_ps-glm",5,5,75,9.58193362645401
"dgp30","ate_bias","bart_ps-glm",5,5,75,-0.418066373545987
"dgp30","ci_length","bart_ps-glm",5,5,75,1.77274277230157
"dgp30","coverage","bart_ps-glm",5,5,75,1
"dgp30","ate_estimate","bart_ps-glm",5,1,100,9.47273480432146
"dgp30","ate_bias","bart_ps-glm",5,1,100,-0.527265195678536
"dgp30","ci_length","bart_ps-glm",5,1,100,1.75316668010963
"dgp30","coverage","bart_ps-glm",5,1,100,1
"dgp30","ate_estimate","bart_ps-glm",5,2,100,9.50564324664559
"dgp30","ate_bias","bart_ps-glm",5,2,100,-0.494356753354406
"dgp30","ci_length","bart_ps-glm",5,2,100,1.798583092621
"dgp30","coverage","bart_ps-glm",5,2,100,1
"dgp30","ate_estimate","bart_ps-glm",5,3,100,9.54068788036315
"dgp30","ate_bias","bart_ps-glm",5,3,100,-0.45931211963685
"dgp30","ci_length","bart_ps-glm",5,3,100,1.77916349871536
"dgp30","coverage","bart_ps-glm",5,3,100,1
"dgp30","ate_estimate","bart_ps-glm",5,5,100,9.62979295175849
"dgp30","ate_bias","bart_ps-glm",5,5,100,-0.370207048241513
"dgp30","ci_length","bart_ps-glm",5,5,100,1.75241296636806
"dgp30","coverage","bart_ps-glm",5,5,100,1
"dgp30","ate_estimate","bart_ps-glm",5,1,200,9.44247740977981
"dgp30","ate_bias","bart_ps-glm",5,1,200,-0.55752259022019
"dgp30","ci_length","bart_ps-glm",5,1,200,1.76991907346119
"dgp30","coverage","bart_ps-glm",5,1,200,1
"dgp30","ate_estimate","bart_ps-glm",5,2,200,9.49696928939973
"dgp30","ate_bias","bart_ps-glm",5,2,200,-0.503030710600273
"dgp30","ci_length","bart_ps-glm",5,2,200,1.76615052744687
"dgp30","coverage","bart_ps-glm",5,2,200,1
"dgp30","ate_estimate","bart_ps-glm",5,3,200,9.54802363269572
"dgp30","ate_bias","bart_ps-glm",5,3,200,-0.451976367304278
"dgp30","ci_length","bart_ps-glm",5,3,200,1.74861291812083
"dgp30","coverage","bart_ps-glm",5,3,200,1
"dgp30","ate_estimate","bart_ps-glm",5,5,200,9.68480826532313
"dgp30","ate_bias","bart_ps-glm",5,5,200,-0.315191734676874
"dgp30","ci_length","bart_ps-glm",5,5,200,1.79004326878744
"dgp30","coverage","bart_ps-glm",5,5,200,1
"dgp30","ate_estimate","bart_ps-glm",6,1,75,10.5412767766104
"dgp30","ate_bias","bart_ps-glm",6,1,75,0.541276776610363
"dgp30","ci_length","bart_ps-glm",6,1,75,1.82496290074485
"dgp30","coverage","bart_ps-glm",6,1,75,1
"dgp30","ate_estimate","bart_ps-glm",6,2,75,10.5794102660564
"dgp30","ate_bias","bart_ps-glm",6,2,75,0.579410266056442
"dgp30","ci_length","bart_ps-glm",6,2,75,1.86567984863044
"dgp30","coverage","bart_ps-glm",6,2,75,1
"dgp30","ate_estimate","bart_ps-glm",6,3,75,10.5674242243569
"dgp30","ate_bias","bart_ps-glm",6,3,75,0.567424224356888
"dgp30","ci_length","bart_ps-glm",6,3,75,1.80293785841335
"dgp30","coverage","bart_ps-glm",6,3,75,1
"dgp30","ate_estimate","bart_ps-glm",6,5,75,10.6203488823828
"dgp30","ate_bias","bart_ps-glm",6,5,75,0.620348882382824
"dgp30","ci_length","bart_ps-glm",6,5,75,1.81804861063052
"dgp30","coverage","bart_ps-glm",6,5,75,1
"dgp30","ate_estimate","bart_ps-glm",6,1,100,10.5289516523411
"dgp30","ate_bias","bart_ps-glm",6,1,100,0.528951652341142
"dgp30","ci_length","bart_ps-glm",6,1,100,1.81265406511802
"dgp30","coverage","bart_ps-glm",6,1,100,1
"dgp30","ate_estimate","bart_ps-glm",6,2,100,10.5229409978159
"dgp30","ate_bias","bart_ps-glm",6,2,100,0.522940997815862
"dgp30","ci_length","bart_ps-glm",6,2,100,1.84098295212997
"dgp30","coverage","bart_ps-glm",6,2,100,1
"dgp30","ate_estimate","bart_ps-glm",6,3,100,10.5652956319316
"dgp30","ate_bias","bart_ps-glm",6,3,100,0.56529563193161
"dgp30","ci_length","bart_ps-glm",6,3,100,1.83120614336914
"dgp30","coverage","bart_ps-glm",6,3,100,1
"dgp30","ate_estimate","bart_ps-glm",6,5,100,10.6603622506194
"dgp30","ate_bias","bart_ps-glm",6,5,100,0.660362250619437
"dgp30","ci_length","bart_ps-glm",6,5,100,1.83446319940522
"dgp30","coverage","bart_ps-glm",6,5,100,1
"dgp30","ate_estimate","bart_ps-glm",6,1,200,10.5122123349293
"dgp30","ate_bias","bart_ps-glm",6,1,200,0.512212334929295
"dgp30","ci_length","bart_ps-glm",6,1,200,1.83283031643727
"dgp30","coverage","bart_ps-glm",6,1,200,1
"dgp30","ate_estimate","bart_ps-glm",6,2,200,10.5327661733774
"dgp30","ate_bias","bart_ps-glm",6,2,200,0.532766173377356
"dgp30","ci_length","bart_ps-glm",6,2,200,1.80698105518648
"dgp30","coverage","bart_ps-glm",6,2,200,1
"dgp30","ate_estimate","bart_ps-glm",6,3,200,10.619656762341
"dgp30","ate_bias","bart_ps-glm",6,3,200,0.61965676234102
"dgp30","ci_length","bart_ps-glm",6,3,200,1.85861096666276
"dgp30","coverage","bart_ps-glm",6,3,200,1
"dgp30","ate_estimate","bart_ps-glm",6,5,200,10.7214726308344
"dgp30","ate_bias","bart_ps-glm",6,5,200,0.721472630834448
"dgp30","ci_length","bart_ps-glm",6,5,200,1.76856700143893
"dgp30","coverage","bart_ps-glm",6,5,200,1
"dgp30","ate_estimate","bart_ps-glm",7,1,75,10.4916648240336
"dgp30","ate_bias","bart_ps-glm",7,1,75,0.491664824033558
"dgp30","ci_length","bart_ps-glm",7,1,75,1.80905543421368
"dgp30","coverage","bart_ps-glm",7,1,75,1
"dgp30","ate_estimate","bart_ps-glm",7,2,75,10.5577057673476
"dgp30","ate_bias","bart_ps-glm",7,2,75,0.557705767347555
"dgp30","ci_length","bart_ps-glm",7,2,75,1.76064244607895
"dgp30","coverage","bart_ps-glm",7,2,75,1
"dgp30","ate_estimate","bart_ps-glm",7,3,75,10.5595304833326
"dgp30","ate_bias","bart_ps-glm",7,3,75,0.559530483332574
"dgp30","ci_length","bart_ps-glm",7,3,75,1.81181607530995
"dgp30","coverage","bart_ps-glm",7,3,75,1
"dgp30","ate_estimate","bart_ps-glm",7,5,75,10.625802657563
