"","dgp","metric","model","iteration","k","n_trees","value"
"is_covered48","dgp60","coverage","bart_s-learner",5,1,75,1
"ate_estimate49","dgp60","ate_estimate","bart_s-learner",5,2,75,1.54477416584199
"ate_bias49","dgp60","ate_bias","bart_s-learner",5,2,75,-0.14147414569421
"ci_length49","dgp60","ci_length","bart_s-learner",5,2,75,0.313777556539561
"is_covered49","dgp60","coverage","bart_s-learner",5,2,75,1
"ate_estimate50","dgp60","ate_estimate","bart_s-learner",5,3,75,1.51814767410673
"ate_bias50","dgp60","ate_bias","bart_s-learner",5,3,75,-0.168100637429471
"ci_length50","dgp60","ci_length","bart_s-learner",5,3,75,0.310183275277383
"is_covered50","dgp60","coverage","bart_s-learner",5,3,75,0
"ate_estimate51","dgp60","ate_estimate","bart_s-learner",5,5,75,1.46567975503983
"ate_bias51","dgp60","ate_bias","bart_s-learner",5,5,75,-0.22056855649637
"ci_length51","dgp60","ci_length","bart_s-learner",5,5,75,0.302222841831152
"is_covered51","dgp60","coverage","bart_s-learner",5,5,75,0
"ate_estimate52","dgp60","ate_estimate","bart_s-learner",5,1,100,1.56739475746652
"ate_bias52","dgp60","ate_bias","bart_s-learner",5,1,100,-0.118853554069682
"ci_length52","dgp60","ci_length","bart_s-learner",5,1,100,0.316203945580286
"is_covered52","dgp60","coverage","bart_s-learner",5,1,100,1
"ate_estimate53","dgp60","ate_estimate","bart_s-learner",5,2,100,1.54674448198818
"ate_bias53","dgp60","ate_bias","bart_s-learner",5,2,100,-0.139503829548019
"ci_length53","dgp60","ci_length","bart_s-learner",5,2,100,0.312887523681354
"is_covered53","dgp60","coverage","bart_s-learner",5,2,100,1
"ate_estimate54","dgp60","ate_estimate","bart_s-learner",5,3,100,1.51389943900239
"ate_bias54","dgp60","ate_bias","bart_s-learner",5,3,100,-0.172348872533807
"ci_length54","dgp60","ci_length","bart_s-learner",5,3,100,0.305843096705085
"is_covered54","dgp60","coverage","bart_s-learner",5,3,100,0
"ate_estimate55","dgp60","ate_estimate","bart_s-learner",5,5,100,1.45993085106322
"ate_bias55","dgp60","ate_bias","bart_s-learner",5,5,100,-0.226317460472975
"ci_length55","dgp60","ci_length","bart_s-learner",5,5,100,0.302756674350754
"is_covered55","dgp60","coverage","bart_s-learner",5,5,100,0
"ate_estimate56","dgp60","ate_estimate","bart_s-learner",5,1,200,1.57527760211072
"ate_bias56","dgp60","ate_bias","bart_s-learner",5,1,200,-0.110970709425477
"ci_length56","dgp60","ci_length","bart_s-learner",5,1,200,0.321376223560216
"is_covered56","dgp60","coverage","bart_s-learner",5,1,200,1
"ate_estimate57","dgp60","ate_estimate","bart_s-learner",5,2,200,1.53905875992194
"ate_bias57","dgp60","ate_bias","bart_s-learner",5,2,200,-0.147189551614265
