"model","dgp","rmse","coverage","mean_ci_length","normalized_rmse"
"causal_forest","dgp30",0.931700108435942,0.65,1.95310847126989,0.0378896972517076
"causal_forest","dgp31",0.496825067541407,0.92,1.80880704517657,0.0273861981420518
"causal_forest","dgp32",0.332537777070831,0.97,1.3319660272976,0.0261486731485016
"causal_forest","dgp37",0.597799269004248,0.92,1.97573104111976,0.113293119517238
"causal_forest","dgp38",0.154426940770429,0.89,0.526720511325507,0.107888771788865
"causal_forest","dgp39",0.910849564124159,0.93,3.16482653971574,0.06538778156412
"causal_forest","dgp40",0.483781503280149,0.98,1.80655094187938,0.0875791700082825
"causal_forest","dgp57",0.0968693607974855,0.95,0.356047764727241,0.0780561709140058
"causal_forest","dgp58",0.104157437883859,0.92,0.365916992336067,0.0750178931208417
"causal_forest","dgp59",0.0984968453257106,0.92,0.350529615457412,0.0807615208735083
"causal_forest","dgp60",0.0980795078762041,0.88,0.30403651396125,0.0815050957172817
"causal_forest","dgp61",0.210887945838942,0.97,0.830572556291761,0.0670563606762867
"causal_forest","dgp62",0.22810712093108,0.93,0.834422203382033,0.0887784432395162
"causal_forest","dgp63",0.235492496938103,0.9,0.854944656617104,0.0855071077957746
"causal_forest","dgp64",0.151772762515447,0.95,0.617864977918252,0.0468650536307344
"weighting","dgp29",0.430123510009332,0.96,1.58079067940565,0.0215530782477637
"weighting","dgp30",12.1330295296921,0,2.34086770600714,0.493417153721057
"weighting","dgp31",0.418224688131354,0.94,1.75379384138255,0.0230535553162452
"weighting","dgp32",0.374189765525096,0.96,1.44887617485385,0.0294239227807975
"weighting","dgp37",0.162262693596237,0.96,0.617470981333859,0.0307515376681679
"weighting","dgp38",0.154289648594583,0.94,0.584867455908632,0.107792854041907
"weighting","dgp39",0.545275790089822,0.73,1.34839845058494,0.0391440866405642
"weighting","dgp40",0.35923867616837,0.8,0.939830491573932,0.0650331293784108
"weighting","dgp57",0.090760823947597,0.96,0.364158901022126,0.0731339850704736
"weighting","dgp58",0.116373032417173,0.91,0.405924304394291,0.0838159989856337
"weighting","dgp59",0.0899199314393239,0.97,0.386734282917922,0.0737289645761454
"weighting","dgp60",0.0835743485140756,0.91,0.314375863032071,0.0694511567466974
"weighting","dgp61",0.191056572405964,0.98,0.854828070301331,0.0607505487232246
"weighting","dgp62",0.263338072745452,0.94,0.893061954870717,0.102490198677749
"weighting","dgp63",0.278374912158993,0.92,0.975638792435174,0.10107767309408
"weighting","dgp64",0.312810101459152,0.78,0.766067778807208,0.0965908634602772
