"dgp","metric","model","iteration","ps_model","regression_model","value"
"dgp29","ate_estimate","weighting",38,"linear_basic","linear_basic",4.07848044498367
"dgp29","ate_bias","weighting",38,"linear_basic","linear_basic",-0.0784804449836702
"dgp29","ci_length","weighting",38,"linear_basic","linear_basic",1.58392905190331
"dgp29","coverage","weighting",38,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",39,"linear_basic","linear_basic",3.94331577790812
"dgp29","ate_bias","weighting",39,"linear_basic","linear_basic",0.0566842220918824
"dgp29","ci_length","weighting",39,"linear_basic","linear_basic",1.59326028030174
"dgp29","coverage","weighting",39,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",40,"linear_basic","linear_basic",4.10013025333824
"dgp29","ate_bias","weighting",40,"linear_basic","linear_basic",-0.100130253338238
"dgp29","ci_length","weighting",40,"linear_basic","linear_basic",1.68787846507743
"dgp29","coverage","weighting",40,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",41,"linear_basic","linear_basic",3.93806041594379
"dgp29","ate_bias","weighting",41,"linear_basic","linear_basic",0.0619395840562125
"dgp29","ci_length","weighting",41,"linear_basic","linear_basic",1.7097086819572
"dgp29","coverage","weighting",41,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",42,"linear_basic","linear_basic",3.94816038993174
"dgp29","ate_bias","weighting",42,"linear_basic","linear_basic",0.0518396100682614
"dgp29","ci_length","weighting",42,"linear_basic","linear_basic",1.49869261552776
"dgp29","coverage","weighting",42,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",43,"linear_basic","linear_basic",3.8853679373776
"dgp29","ate_bias","weighting",43,"linear_basic","linear_basic",0.114632062622404
"dgp29","ci_length","weighting",43,"linear_basic","linear_basic",1.50170073749142
"dgp29","coverage","weighting",43,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",44,"linear_basic","linear_basic",4.38728984965505
"dgp29","ate_bias","weighting",44,"linear_basic","linear_basic",-0.387289849655054
"dgp29","ci_length","weighting",44,"linear_basic","linear_basic",1.5413165639943
"dgp29","coverage","weighting",44,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",45,"linear_basic","linear_basic",3.48637711756621
"dgp29","ate_bias","weighting",45,"linear_basic","linear_basic",0.513622882433786
"dgp29","ci_length","weighting",45,"linear_basic","linear_basic",1.59406523309637
"dgp29","coverage","weighting",45,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",46,"linear_basic","linear_basic",4.62813159263186
"dgp29","ate_bias","weighting",46,"linear_basic","linear_basic",-0.628131592631864
"dgp29","ci_length","weighting",46,"linear_basic","linear_basic",1.56556702514056
"dgp29","coverage","weighting",46,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",47,"linear_basic","linear_basic",4.42927398935732
"dgp29","ate_bias","weighting",47,"linear_basic","linear_basic",-0.429273989357324
"dgp29","ci_length","weighting",47,"linear_basic","linear_basic",1.62673506687899
"dgp29","coverage","weighting",47,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",48,"linear_basic","linear_basic",3.8031980565651
"dgp29","ate_bias","weighting",48,"linear_basic","linear_basic",0.196801943434901
"dgp29","ci_length","weighting",48,"linear_basic","linear_basic",1.54359724677955
"dgp29","coverage","weighting",48,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",49,"linear_basic","linear_basic",4.4676030278167
"dgp29","ate_bias","weighting",49,"linear_basic","linear_basic",-0.467603027816703
"dgp29","ci_length","weighting",49,"linear_basic","linear_basic",1.55135542291796
"dgp29","coverage","weighting",49,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",50,"linear_basic","linear_basic",3.66753070853792
"dgp29","ate_bias","weighting",50,"linear_basic","linear_basic",0.332469291462076
"dgp29","ci_length","weighting",50,"linear_basic","linear_basic",1.588314909493
"dgp29","coverage","weighting",50,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",51,"linear_basic","linear_basic",4.47773193999278
"dgp29","ate_bias","weighting",51,"linear_basic","linear_basic",-0.477731939992779
"dgp29","ci_length","weighting",51,"linear_basic","linear_basic",1.60772524124657
"dgp29","coverage","weighting",51,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",52,"linear_basic","linear_basic",4.16096886011707
"dgp29","ate_bias","weighting",52,"linear_basic","linear_basic",-0.160968860117069
"dgp29","ci_length","weighting",52,"linear_basic","linear_basic",1.51726898225788
"dgp29","coverage","weighting",52,"linear_basic","linear_basic",1
"dgp29","ate_estimate","weighting",53,"linear_basic","linear_basic",3.63350146308997
"dgp29","ate_bias","weighting",53,"linear_basic","linear_basic",0.366498536910034
"dgp29","ci_length","weighting",53,"linear_basic","linear_basic",1.72956294369955
"dgp29","coverage","weighting",53,"linear_basic","linear_basic",1
