"dgp","metric","model","iteration","ps_model","regression_model","value"
"dgp30","ate_estimate","bart_ps-bart",7,"bart","linear_basic",11.5421034482078
"dgp30","ate_bias","bart_ps-bart",7,"bart","linear_basic",-1.54210344820777
"dgp30","ci_length","bart_ps-bart",7,"bart","linear_basic",2.61381882182485
"dgp30","coverage","bart_ps-bart",7,"bart","linear_basic",0
"dgp30","ate_estimate","bart_ps-bart",8,"bart","linear_basic",11.9475137946586
"dgp30","ate_bias","bart_ps-bart",8,"bart","linear_basic",-1.94751379465863
"dgp30","ci_length","bart_ps-bart",8,"bart","linear_basic",2.81082549963464
"dgp30","coverage","bart_ps-bart",8,"bart","linear_basic",0
"dgp30","ate_estimate","bart_ps-bart",9,"bart","linear_basic",11.3447390241996
"dgp30","ate_bias","bart_ps-bart",9,"bart","linear_basic",-1.34473902419956
"dgp30","ci_length","bart_ps-bart",9,"bart","linear_basic",3.2452990334732
"dgp30","coverage","bart_ps-bart",9,"bart","linear_basic",1
"dgp30","ate_estimate","bart_ps-bart",10,"bart","linear_basic",11.0730022460392
"dgp30","ate_bias","bart_ps-bart",10,"bart","linear_basic",-1.07300224603918
"dgp30","ci_length","bart_ps-bart",10,"bart","linear_basic",2.89454219403409
"dgp30","coverage","bart_ps-bart",10,"bart","linear_basic",1
"dgp30","ate_estimate","bart_ps-bart",11,"bart","linear_basic",11.1017463046178
"dgp30","ate_bias","bart_ps-bart",11,"bart","linear_basic",-1.10174630461781
"dgp30","ci_length","bart_ps-bart",11,"bart","linear_basic",3.01538578764835
"dgp30","coverage","bart_ps-bart",11,"bart","linear_basic",1
"dgp30","ate_estimate","bart_ps-bart",12,"bart","linear_basic",11.1790633067328
"dgp30","ate_bias","bart_ps-bart",12,"bart","linear_basic",-1.17906330673283
"dgp30","ci_length","bart_ps-bart",12,"bart","linear_basic",2.60980185543982
"dgp30","coverage","bart_ps-bart",12,"bart","linear_basic",1
"dgp30","ate_estimate","bart_ps-bart",13,"bart","linear_basic",10.9481576408552
"dgp30","ate_bias","bart_ps-bart",13,"bart","linear_basic",-0.948157640855214
"dgp30","ci_length","bart_ps-bart",13,"bart","linear_basic",3.02387557861629
"dgp30","coverage","bart_ps-bart",13,"bart","linear_basic",1
"dgp30","ate_estimate","bart_ps-bart",14,"bart","linear_basic",11.8346173064479
"dgp30","ate_bias","bart_ps-bart",14,"bart","linear_basic",-1.83461730644794
"dgp30","ci_length","bart_ps-bart",14,"bart","linear_basic",2.88106597895379
"dgp30","coverage","bart_ps-bart",14,"bart","linear_basic",0
"dgp30","ate_estimate","bart_ps-bart",15,"bart","linear_basic",11.7318835243336
"dgp30","ate_bias","bart_ps-bart",15,"bart","linear_basic",-1.73188352433356
"dgp30","ci_length","bart_ps-bart",15,"bart","linear_basic",2.73596884752349
"dgp30","coverage","bart_ps-bart",15,"bart","linear_basic",0
"dgp30","ate_estimate","bart_ps-bart",16,"bart","linear_basic",11.0895757830247
"dgp30","ate_bias","bart_ps-bart",16,"bart","linear_basic",-1.08957578302473
"dgp30","ci_length","bart_ps-bart",16,"bart","linear_basic",2.93773075911617
"dgp30","coverage","bart_ps-bart",16,"bart","linear_basic",1
"dgp30","ate_estimate","bart_ps-bart",17,"bart","linear_basic",12.1867537575345
"dgp30","ate_bias","bart_ps-bart",17,"bart","linear_basic",-2.18675375753452
"dgp30","ci_length","bart_ps-bart",17,"bart","linear_basic",2.8240593486493
"dgp30","coverage","bart_ps-bart",17,"bart","linear_basic",0
"dgp30","ate_estimate","bart_ps-bart",18,"bart","linear_basic",11.1070394117476
"dgp30","ate_bias","bart_ps-bart",18,"bart","linear_basic",-1.10703941174756
"dgp30","ci_length","bart_ps-bart",18,"bart","linear_basic",2.76668021553149
"dgp30","coverage","bart_ps-bart",18,"bart","linear_basic",1
"dgp30","ate_estimate","bart_ps-bart",19,"bart","linear_basic",11.8754969984437
"dgp30","ate_bias","bart_ps-bart",19,"bart","linear_basic",-1.8754969984437
"dgp30","ci_length","bart_ps-bart",19,"bart","linear_basic",2.82854875115809
"dgp30","coverage","bart_ps-bart",19,"bart","linear_basic",0
"dgp30","ate_estimate","bart_ps-bart",20,"bart","linear_basic",11.2780990362132
"dgp30","ate_bias","bart_ps-bart",20,"bart","linear_basic",-1.27809903621315
"dgp30","ci_length","bart_ps-bart",20,"bart","linear_basic",3.08589253958272
"dgp30","coverage","bart_ps-bart",20,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",1,"bart","linear_basic",1.51461544913268
"dgp31","ate_bias","bart_ps-bart",1,"bart","linear_basic",0.485384550867319
"dgp31","ci_length","bart_ps-bart",1,"bart","linear_basic",1.78821349496193
"dgp31","coverage","bart_ps-bart",1,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",2,"bart","linear_basic",2.64721185150793
"dgp31","ate_bias","bart_ps-bart",2,"bart","linear_basic",-0.647211851507926
"dgp31","ci_length","bart_ps-bart",2,"bart","linear_basic",1.80525156322309
"dgp31","coverage","bart_ps-bart",2,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",3,"bart","linear_basic",2.50521457497955
"dgp31","ate_bias","bart_ps-bart",3,"bart","linear_basic",-0.505214574979548
"dgp31","ci_length","bart_ps-bart",3,"bart","linear_basic",2.26721891018766
"dgp31","coverage","bart_ps-bart",3,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",4,"bart","linear_basic",2.41785289611768
"dgp31","ate_bias","bart_ps-bart",4,"bart","linear_basic",-0.417852896117681
"dgp31","ci_length","bart_ps-bart",4,"bart","linear_basic",1.98821976832399
"dgp31","coverage","bart_ps-bart",4,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",5,"bart","linear_basic",2.22822243784254
"dgp31","ate_bias","bart_ps-bart",5,"bart","linear_basic",-0.228222437842538
"dgp31","ci_length","bart_ps-bart",5,"bart","linear_basic",1.80770741939237
"dgp31","coverage","bart_ps-bart",5,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",6,"bart","linear_basic",1.26366948644846
"dgp31","ate_bias","bart_ps-bart",6,"bart","linear_basic",0.736330513551539
"dgp31","ci_length","bart_ps-bart",6,"bart","linear_basic",2.08851479880355
"dgp31","coverage","bart_ps-bart",6,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",7,"bart","linear_basic",2.61191549928074
"dgp31","ate_bias","bart_ps-bart",7,"bart","linear_basic",-0.611915499280743
"dgp31","ci_length","bart_ps-bart",7,"bart","linear_basic",2.0385140485284
"dgp31","coverage","bart_ps-bart",7,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",8,"bart","linear_basic",0.897651940749084
"dgp31","ate_bias","bart_ps-bart",8,"bart","linear_basic",1.10234805925092
"dgp31","ci_length","bart_ps-bart",8,"bart","linear_basic",1.95094183068388
"dgp31","coverage","bart_ps-bart",8,"bart","linear_basic",0
"dgp31","ate_estimate","bart_ps-bart",9,"bart","linear_basic",2.3337657760567
"dgp31","ate_bias","bart_ps-bart",9,"bart","linear_basic",-0.333765776056695
"dgp31","ci_length","bart_ps-bart",9,"bart","linear_basic",1.90582977876393
"dgp31","coverage","bart_ps-bart",9,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",10,"bart","linear_basic",1.48520676808692
"dgp31","ate_bias","bart_ps-bart",10,"bart","linear_basic",0.514793231913079
"dgp31","ci_length","bart_ps-bart",10,"bart","linear_basic",2.08419321696945
"dgp31","coverage","bart_ps-bart",10,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",11,"bart","linear_basic",1.14033003843787
