"model","dgp","bias_abs","bias_rel","bias_std","rmse","rmse_rel","rmse_std","coverage","ci_length","ci_length_rel","ci_length_std"
"BART_ps-bart","dgp59",0.0692226276903004,0.0865282846128755,0.0567584136592646,0.0877980250293182,0.109747531286648,0.0719891282569554,0.96,0.379135065953054,0.473918832441318,0.310868073404722
"BART_ps-bart","dgp60",0.0711773944755223,0.0422105060023328,0.059149158425189,0.0898875858412914,0.0533062569885703,0.0746975229222916,0.9,0.304825874606531,0.180771641116622,0.253313486424387
"BART_ps-bart","dgp61",0.139940428246655,0.0699702141233275,0.04449707067121,0.176683257048386,0.088341628524193,0.0561802437923404,0.98,0.840235171436018,0.420117585718009,0.267170854571959
"BART_ps-bart","dgp62",0.169242759632196,0.0846213798160981,0.0658686527118357,0.210192635937975,0.105096317968987,0.0818061922960392,0.95,0.879712193886221,0.439856096943111,0.342380714610111
"BART_ps-bart","dgp63",0.196123016648286,0.0980615083241429,0.0712120859212991,0.257005547541628,0.128502773770814,0.0933184765692565,0.94,0.983476081042738,0.491738040521369,0.357099255261584
"BART_ps-bart","dgp64",0.134056386082835,0.0369810720228511,0.0413945138718489,0.16625913624238,0.0458645893082429,0.0513382191076986,0.93,0.628227167423127,0.17330404618569,0.19398671675738
"BART_ps-glm","dgp29",0.361633754120433,0.0904084385301083,0.0181211219991698,0.435394111021559,0.10884852775539,0.0218171830301943,0.92,1.52455480377304,0.381138700943259,0.0763939850160978
"BART_ps-glm","dgp30",0.466043122023373,0.0466043122023373,0.0189527001658821,0.577836462943152,0.0577836462943152,0.0234990298312484,0.86,1.81221903835503,0.181221903835503,0.0736979958415169
"BART_ps-glm","dgp31",0.317642588952278,0.158821294476139,0.0175092269849617,0.392584762576951,0.196292381288475,0.0216402206689917,0.95,1.59850320046177,0.799251600230887,0.0881133586821313
"BART_ps-glm","dgp32",0.266035199724193,0.105260825128209,0.0209193299626301,0.314660042828829,0.12449997510622,0.0247428809000307,0.99,1.33742721732208,0.529173179301824,0.105166839911292
"BART_ps-glm","dgp37",0.169512135481894,0.0423780338704736,0.0321254300908755,0.207203127444572,0.051800781861143,0.0392685135280025,0.95,0.794837750635685,0.198709437658921,0.150635259941981
"BART_ps-glm","dgp38",0.115426786721036,0.0461707146884144,0.0806417208599683,0.14328108799441,0.057312435197764,0.100101837977025,0.98,0.574392403672441,0.229756961468976,0.401293263001296
"BART_ps-glm","dgp39",0.282252276473989,0.0450141868033819,0.0202622375054912,0.348026189702127,0.0555039488482725,0.0249839944675361,0.81,0.947609774235432,0.151126800205189,0.0680267119470075
"BART_ps-glm","dgp40",0.11615966681549,0.0166848489849395,0.0210284335783052,0.141899749360438,0.0203820823009106,0.0256881716004217,0.95,0.538004532599859,0.0772774632170744,0.0973951879233061
"BART_ps-glm","dgp57",0.0680639383215203,0.136127876643041,0.0548451064295951,0.084859359158626,0.169718718317252,0.0683786554139279,0.95,0.355076872262503,0.710153744525005,0.286116691601541
"BART_ps-glm","dgp58",0.0878206008788186,0.0878206008788186,0.0632515217768836,0.109225037358016,0.109225037358016,0.0786677585884948,0.92,0.393960787064167,0.393960787064167,0.283744577614675
"BART_ps-glm","dgp59",0.0690318058314367,0.0862897572892959,0.0566019511503713,0.0875478241326856,0.109434780165857,0.0717839784892736,0.98,0.375114691559452,0.468893364449315,0.307571606909429
"BART_ps-glm","dgp60",0.0713893982828437,0.0423362311436841,0.0593253358039536,0.0898500655919328,0.0532840062624454,0.074666343203087,0.9,0.303846734142465,0.18019097902945,0.252499810469314
"BART_ps-glm","dgp61",0.141692611165353,0.0708463055826764,0.0450542149370883,0.176721969451736,0.0883609847258682,0.0561925532340744,0.98,0.834158929683275,0.417079464841637,0.265238782746292
"BART_ps-glm","dgp62",0.169463905932355,0.0847319529661777,0.0659547220295149,0.209947366044037,0.104973683022018,0.0817107341653659,0.96,0.870420567370915,0.435210283685458,0.338764448121696
"BART_ps-glm","dgp63",0.18928311833668,0.0946415591683399,0.0687285251716063,0.250962829820097,0.125481414910049,0.0911243713543876,0.94,0.969840019973986,0.484920009986993,0.352148014101565
"BART_ps-glm","dgp64",0.130042893639223,0.0358739016935788,0.0401552102214506,0.160762265106215,0.0443482110637835,0.0496408713337764,0.93,0.619616524137112,0.170928696313686,0.191327884878023
